Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Brands (product.metafields.custom.brands),Breed Size (product.metafields.custom.breed_size),Categories (product.metafields.custom.categories),Disclaimer (product.metafields.custom.disclaimer),eCategories (product.metafields.custom.ecategories),Feeding Instructions (product.metafields.custom.feeding_instructions),Flavor (product.metafields.custom.flavor6),Frequently Bought together products (product.metafields.custom.frequently_bought_together_products),Guaranteed Analysis (product.metafields.custom.guaranteed_analysis),Ingredients (product.metafields.custom.ingredients),Key Benefits (product.metafields.custom.key_benefits),Life Stages (product.metafields.custom.life_stages),Locations (product.metafields.custom.locations),Manufacturer (product.metafields.custom.manufacturer),Product Badge (product.metafields.custom.product_badge),Product Description (product.metafields.custom.product_description),Solutions (product.metafields.custom.solutions),Special Diet (product.metafields.custom.special_diet),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
Darford---Naturals---Liver-&-Flaxseed-Treats-NS,Darford - Naturals - Liver & Flaxseed Treats,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,1lb,,,,,,,,97790,0,shopify,deny,manual,9.49,,TRUE,TRUE,,,,,064863020124,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Biscuits,,,,,,,,,,,,,,,,,,,,,,,,4.15,TRUE,,,active
Ducky-World---Yeowww-Catnip-NS,Ducky World - Yeowww Catnip,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,Mini*,,,,,,,,TMN18005,0,shopify,deny,manual,3.49,,TRUE,TRUE,,,,,812402000256,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Catnip & Grass,,,,,,,,,,,,,,,,,,,,,,,,1.2114,TRUE,,,active
Dura-Chew-Alternative-Femur-Beef-NS,Dura Chew Alternative Femur Beef,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,Large,,,,,,,,28868,0,shopify,deny,manual,31.99,,TRUE,TRUE,,,,,018214836742,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Toy >> Dog Nylon,,,,,,,,,,,,,,,,,,,,,,,,15.2575,TRUE,,,active
EZYDOG-HARNESS-BLACK-13380-NS,EZYDOG HARNESS BLACK 13380,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,XLRG,,,,,,,,13380,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,807203105057,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Collars Leashes & Harnesses,,,,,,,,,,,,,,,,,,,,,,,,23.545,TRUE,,,active
EZYDOG-HARNESS-BLACK-NS,EZYDOG HARNESS BLACK,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,XSM,,,,,,,,13352,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,807203105019,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Collars Leashes & Harnesses,,,,,,,,,,,,,,,,,,,,,,,,23.545,TRUE,,,active
EZYDOG-HARNESS-W/REFLECTIVE-PIPING-BLACK-NS,EZYDOG HARNESS W/REFLECTIVE PIPING BLACK,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,LRG,,,,,,,,13373,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,807203105040,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Collars Leashes & Harnesses,,,,,,,,,,,,,,,,,,,,,,,,23.545,TRUE,,,active
EZYDOG-HARNESS-W/REFLECTIVE-PIPING-BLACK-NS,EZYDOG HARNESS W/REFLECTIVE PIPING BLACK,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,MED,,,,,,,,13366,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,807203105033,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Collars Leashes & Harnesses,,,,,,,,,,,,,,,,,,,,,,,,23.545,TRUE,,,active
EZYDOG-HARNESS-W/REFLECTIVE-PIPING-BLACK-NS,EZYDOG HARNESS W/REFLECTIVE PIPING BLACK,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,SM,,,,,,,,13359,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,807203105026,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Collars Leashes & Harnesses,,,,,,,,,,,,,,,,,,,,,,,,23.545,TRUE,,,active
Feline-Fresh---Natural-Pine-Cat-Litter-NS,Feline Fresh - Natural Pine Cat Litter,,Maddies Natural Pet Products Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,20lb*,,,,,,,,MADDD13158,0,shopify,deny,manual,17.99,,TRUE,TRUE,,,,,735506000123,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Litter,,,,,,,,,,,,,,,,,,,,,,,,12.65,TRUE,,,active
Feline-Fresh---Natural-Pine-Cat-Litter-NS,Feline Fresh - Natural Pine Cat Litter,,Maddies Natural Pet Products Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,20lb**,,,,,,,,138MMADD13158,0,shopify,deny,manual,20.99,,TRUE,TRUE,,,,,789290502004,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Litter,,,,,,,,,,,,,,,,,,,,,,,,14.58,TRUE,,,active
Feline-Fresh---Natural-Pine-Cat-Litter-NS,Feline Fresh - Natural Pine Cat Litter,,,,Pet Supplies,LaunchNoScans,TRUE,Size,40lb*,,,,,,,,13160,0,shopify,deny,manual,38.99,,TRUE,TRUE,,,,,735506000130,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Litter,,,,,,,,,,,,,,,,,,,,,,,,27.14,TRUE,,,active
FOOD-CONTAINER-NS,FOOD CONTAINER,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,LARGE,,,,,,,,08862,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,079441009033,,,,FALSE,,,,,,,,,,,,,,,,UNCLASSED,,,,,,,,,,,,,,,,,,,,,,,,26.8175,TRUE,,,active
FOUR-PAWS-ALLEN-SPRING-ACTION-NS,FOUR PAWS ALLEN SPRING ACTION,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,,,,,,,,,17539,0,shopify,deny,manual,43.99,,TRUE,TRUE,,,,,045663182403,,,,FALSE,,,,,,,,,,,,,,,,UNCLASSED,,,,,,,,,,,,,,,,,,,,,,,,21.33,TRUE,,,active
Furminator---Grinder-Replacement-Bands-NS,Furminator - Grinder Replacement Bands,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,,,,,,,,,72605,0,shopify,deny,manual,10.99,,TRUE,TRUE,,,,,811794040413,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Tools & Equipment,,,,,,,,,,,,,,,,,,,,,,,,5.1293,TRUE,,,active
Goo-Eez---Rounded-Mango-Wood-W-Stainless-Steel-Bowl-NS,Goo-Eez - Rounded Mango Wood W Stainless Steel Bowl,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,S,,,,,,,,27600,0,shopify,deny,manual,24.99,,TRUE,TRUE,,,,,688118016771,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Bowls,,,,,,,,,,,,,,,,,,,,,,,,12.495,TRUE,,,active
Greenies---Cat-Pill-Pockets-Chicken-NS,Greenies - Cat Pill Pockets Chicken,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,1.6oz*,,,,,,,,73PPDL73450,0,shopify,deny,manual,8.99,,TRUE,TRUE,,,,,642863021411,,,,FALSE,,,,,,,,,,,,,,,,Vitamins & Solutions >> Pill Assistance,,,,,,,,,,,,,,,,,,,,,,,,5.02,TRUE,,,active
Greenies---Cat-Pill-Pockets-Salmon-NS,Greenies - Cat Pill Pockets Salmon,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,1.6oz*,,,,,,,,74PPDL73455,0,shopify,deny,manual,8.99,,TRUE,TRUE,,,,,642863021428,,,,FALSE,,,,,,,,,,,,,,,,Vitamins & Solutions >> Pill Assistance,,,,,,,,,,,,,,,,,,,,,,,,5.02,TRUE,,,active
Greenies---Cat-Smartbites-Hairball-Chicken-NS,Greenies - Cat Smartbites Hairball Chicken,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,2.1oz,,,,,,,,57602,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,642863101397,,,,FALSE,,,,,,,,,,,,,,,,Dental Care >> Chews & Treats,,,,,,,,,,,,,,,,,,,,,,,,2.6397,TRUE,,,active
Greenies---Cat-Smartbites-Hairball-Tuna-NS,Greenies - Cat Smartbites Hairball Tuna,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,2.1oz,,,,,,,,57619,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,642863101403,,,,FALSE,,,,,,,,,,,,,,,,Dental Care >> Chews & Treats,,,,,,,,,,,,,,,,,,,,,,,,2.6397,TRUE,,,active
Grizzly---Pollock-Oil-NS,Grizzly - Pollock Oil,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,8oz*,,,,,,,,PDL93375,0,shopify,deny,manual,20.99,,TRUE,TRUE,,,,,835953008021,,,,FALSE,,,,,,,,,,,,,,,,Vitamins & Solutions >> Immunity,,,,,,,,,,,,,,,,,,,,,,,,10.894,TRUE,,,active
HuggleHounds---Hol-Bear-Squooshie-NS,HuggleHounds - Hol Bear Squooshie,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,Lg*,,,,,,,,97965,0,shopify,deny,manual,27.99,,TRUE,TRUE,,,,,813168012859,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Toy >> Dog Plush,,,,,,,,,,,,,,,,,,,,,,,,15.18,TRUE,,,active
Inaba-Chicken-Stew-Ckn-w/-Cheese-NS,Inaba Chicken Stew Ckn w/ Cheese,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,1.4oz,,,,,,,,44544,0,shopify,deny,manual,2.99,,TRUE,TRUE,,,,,850030015266,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Food >> Cat Canned (Wet),,,,,,,,,,,,,,,,,,,,,,,,1.265,TRUE,,,active
Inaba-Churu-Bisque-Tuna-NS,Inaba Churu Bisque Tuna,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,CARTON,,,,,,,,44551,0,shopify,deny,manual,2.99,,TRUE,TRUE,,,,,810100850210,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,1.2658,TRUE,,,active
Inaba-Churu-Broth-Chicken-&-Tuna-NS,Inaba Churu Broth Chicken & Tuna,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,SINGLE,,,,,,,,44556,0,shopify,deny,manual,2.99,,TRUE,TRUE,,,,,810100850128,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,1.2658,TRUE,,,active
Inaba-Churu-Broth-Chicken-w/-Salmon-NS,Inaba Churu Broth Chicken w/ Salmon,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,CARTON,,,,,,,,44558,0,shopify,deny,manual,2.99,,TRUE,TRUE,,,,,810100850173,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,1.2658,TRUE,,,active
Inaba-Churu-Broth-Ckn-&-Seafood-VARIETY-PACK-NS,Inaba Churu Broth Ckn & Seafood VARIETY PACK,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,,,,,,,,,44570,0,shopify,deny,manual,20.99,,TRUE,TRUE,,,,,810100851347,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,14.44,TRUE,,,active
Inaba-Churu-Fun-Bites-CAT-Ckn-Wrap-Ckn-NS,Inaba Churu Fun Bites CAT Ckn Wrap Ckn,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,1.26oz,,,,,,,,44574,0,shopify,deny,manual,6.99,,TRUE,TRUE,,,,,810100851378,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Food >> Cat Canned (Wet),,,,,,,,,,,,,,,,,,,,,,,,3.5,TRUE,,,active
Inaba-Churu-Fun-Bites-CAT-Ckn-Wrap-Tuna-NS,Inaba Churu Fun Bites CAT Ckn Wrap Tuna,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,1.26oz,,,,,,,,44575,0,shopify,deny,manual,6.99,,TRUE,TRUE,,,,,810100851392,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,3.5,TRUE,,,active
Inaba-Churu-Meal-Topper-CAT-Ckn/Cheese-NS,Inaba Churu Meal Topper CAT Ckn/Cheese,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44595,0,shopify,deny,manual,5.99,,TRUE,TRUE,,,,,810100850616,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.99,TRUE,,,active
Inaba-Churu-Meal-Topper-CAT-Ckn-NS,Inaba Churu Meal Topper CAT Ckn,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44593,0,shopify,deny,manual,5.99,,TRUE,TRUE,,,,,810100850579,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.99,TRUE,,,active
Inaba-Churu-Meal-Topper-CAT-Tuna/Salm-NS,Inaba Churu Meal Topper CAT Tuna/Salm,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44594,0,shopify,deny,manual,5.99,,TRUE,TRUE,,,,,810100850593,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.99,TRUE,,,active
Inaba-Churu-Meal-Topper-CAT-Tuna/Scallop-NS,Inaba Churu Meal Topper CAT Tuna/Scallop,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44592,0,shopify,deny,manual,5.99,,TRUE,TRUE,,,,,810100850555,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.99,TRUE,,,active
Inaba-Churu-Meal-Topper-DOG-Ckn/Cheese-3pk-NS,Inaba Churu Meal Topper DOG Ckn/Cheese 3pk,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,5.07oz,,,,,,,,44583,0,shopify,deny,manual,10.99,,TRUE,TRUE,,,,,810100851248,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Food >> Dog Meal Mixers & Toppers,,,,,,,,,,,,,,,,,,,,,,,,5.185,TRUE,,,active
Inaba-Churu-Meal-Topper-DOG-Ckn/Pumpkn-3pk-NS,Inaba Churu Meal Topper DOG Ckn/Pumpkn 3pk,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,5.07oz,,,,,,,,44585,0,shopify,deny,manual,10.99,,TRUE,TRUE,,,,,810100851286,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Food >> Dog Meal Mixers & Toppers,,,,,,,,,,,,,,,,,,,,,,,,5.185,TRUE,,,active
Inaba-Churu-Meal-Topper-DOG-Ckn/Salm-3pk-NS,Inaba Churu Meal Topper DOG Ckn/Salm 3pk,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,5.07oz,,,,,,,,44582,0,shopify,deny,manual,10.99,,TRUE,TRUE,,,,,810100851224,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Food >> Dog Meal Mixers & Toppers,,,,,,,,,,,,,,,,,,,,,,,,5.185,TRUE,,,active
Inaba-Churu-Meal-Topper-DOG-Tuna-3pk-NS,Inaba Churu Meal Topper DOG Tuna 3pk,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,5.07oz,,,,,,,,44581,0,shopify,deny,manual,10.99,,TRUE,TRUE,,,,,810100851200,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Food >> Dog Meal Mixers & Toppers,,,,,,,,,,,,,,,,,,,,,,,,5.185,TRUE,,,active
Inaba-Churu-Pop'n-Serve-Ckn-2pk-CTN-NS,Inaba Churu Pop'n Serve Ckn 2pk CTN,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2.46oz,,,,,,,,44511,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,810100852399,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.385,TRUE,,,active
Inaba-Churu-Pop'n-Serve-Tuna&-BonitoFl-NS,Inaba Churu Pop'n Serve Tuna& BonitoFl,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2.46oz,,,,,,,,44513,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,810100852436,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.385,TRUE,,,active
Inaba-Churu-Pop'n-Serve-Tuna-2pk-CTN-NS,Inaba Churu Pop'n Serve Tuna 2pk CTN,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2.46oz,,,,,,,,44510,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,810100852375,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.385,TRUE,,,active
Inaba-Churu-Puree-Chicken-NS,Inaba Churu Puree Chicken,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44775,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,857276007390,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.99,TRUE,,,active
Inaba-Churu-Puree-Hairball-Control-Chicken-NS,Inaba Churu Puree Hairball Control Chicken,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,TMN44643,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,00810100850296,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Puree-Hairball-Control-Tuna-NS,Inaba Churu Puree Hairball Control Tuna,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,TMN44642,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,00810100850272,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Puree-Salmon-Recipe-CTN-NS,Inaba Churu Puree Salmon Recipe CTN,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44505,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,810100852542,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Puree-Salmon-w/Ckn-Recipe-CTN-NS,Inaba Churu Puree Salmon w/Ckn Recipe CTN,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44508,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,810100852627,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Puree-Salmon-w/Sclp-Flavor-CTN-NS,Inaba Churu Puree Salmon w/Sclp Flavor CTN,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44507,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,810100852603,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Puree-Salmon-w/Tuna-Recipe-CTN-NS,Inaba Churu Puree Salmon w/Tuna Recipe CTN,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44506,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,810100852580,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Puree-Skin-&-Coat-Chicken-NS,Inaba Churu Puree Skin & Coat Chicken,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,TMN44707,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,10850006715760,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Puree-Skin-&-Coat-Tuna-NS,Inaba Churu Puree Skin & Coat Tuna,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,TMN44706,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,10850006715753,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Rolls-DOG-Ckn-Rcp-wraps-Ckn-/Salm-NS,Inaba Churu Rolls DOG Ckn Rcp wraps Ckn /Salm,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,3.36oz,,,,,,,,TMN44785,0,shopify,deny,manual,12.99,,TRUE,TRUE,,,,,850006715593,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Jerky Treat,,,,,,,,,,,,,,,,,,,,,,,,7,TRUE,,,active
Inaba-Churu-Rolls-DOG-Ckn-Rcp-wraps-Ckn-8pk-NS,Inaba Churu Rolls DOG Ckn Rcp wraps Ckn 8pk,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,3.36oz,,,,,,,,44758,0,shopify,deny,manual,12.99,,TRUE,TRUE,,,,,850006715579,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Jerky Treat,,,,,,,,,,,,,,,,,,,,,,,,7,TRUE,,,active
Inaba-Churu-Rolls-DOG-Ckn-Wrap-Ckn-w/Cheese-NS,Inaba Churu Rolls DOG Ckn Wrap Ckn w/Cheese,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,3.36oz,,,,,,,,TMN44787,0,shopify,deny,manual,12.99,,TRUE,TRUE,,,,,850006715609,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Jerky Treat,,,,,,,,,,,,,,,,,,,,,,,,7,TRUE,,,active
Inaba-Churu-Senior-10+-Tuna-CARTON-NS,Inaba Churu Senior 10+ Tuna CARTON,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44520,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,810100851477,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Churu-Senior-10+-Tuna-w/-Salmon-CARTON-NS,Inaba Churu Senior 10+ Tuna w/ Salmon CARTON,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2oz,,,,,,,,44521,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,810100852160,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Treat >> Cat Wet Treat,,,,,,,,,,,,,,,,,,,,,,,,2.9883,TRUE,,,active
Inaba-Dashi-Delights-Chicken-Variety-Pak-NS,Inaba Dashi Delights Chicken Variety Pak,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,30oz,,,,,,,,44660,0,shopify,deny,manual,38.99,,TRUE,TRUE,,,,,810100850999,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Food >> Cat Canned (Wet),,,,,,,,,,,,,,,,,,,,,,,,13.19,TRUE,,,active
Inaba-Dashi-Delights-Seafood-Variety-Pak-NS,Inaba Dashi Delights Seafood Variety Pak,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,30oz,,,,,,,,44659,0,shopify,deny,manual,38.99,,TRUE,TRUE,,,,,810100850982,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Food >> Cat Canned (Wet),,,,,,,,,,,,,,,,,,,,,,,,13.19,TRUE,,,active
Inaba-Dashi-Delights-Tuna-Variety-Pak-NS,Inaba Dashi Delights Tuna Variety Pak,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,30oz,,,,,,,,44658,0,shopify,deny,manual,34.99,,TRUE,TRUE,,,,,810100850975,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Food >> Cat Canned (Wet),,,,,,,,,,,,,,,,,,,,,,,,13.19,TRUE,,,active
Inaba-Juicy-Bites-Fish/Clam-3pk-NS,Inaba Juicy Bites Fish/Clam 3pk,,Trueman Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,4oz,,,,,,,,TMN44792,0,shopify,deny,manual,6.99,,TRUE,TRUE,,,,,857276007499,,,,FALSE,,,,,,,,,,,,,,,,Cat >> Cat Food >> Cat Canned (Wet),,,,,,,,,,,,,,,,,,,,,,,,3.5,TRUE,,,active
