Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Brands (product.metafields.custom.brands),Breed Size (product.metafields.custom.breed_size),Categories (product.metafields.custom.categories),Disclaimer (product.metafields.custom.disclaimer),eCategories (product.metafields.custom.ecategories),Feeding Instructions (product.metafields.custom.feeding_instructions),Flavor (product.metafields.custom.flavor6),Frequently Bought together products (product.metafields.custom.frequently_bought_together_products),Guaranteed Analysis (product.metafields.custom.guaranteed_analysis),Ingredients (product.metafields.custom.ingredients),Key Benefits (product.metafields.custom.key_benefits),Life Stages (product.metafields.custom.life_stages),Locations (product.metafields.custom.locations),Manufacturer (product.metafields.custom.manufacturer),Product Badge (product.metafields.custom.product_badge),Product Description (product.metafields.custom.product_description),Solutions (product.metafields.custom.solutions),Special Diet (product.metafields.custom.special_diet),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
Unleashed---Chill-Sage-Swirl-Gusset-NS,Unleashed - Chill Sage Swirl Gusset,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,30x20in,,,,,,,,10633,0,shopify,deny,manual,35.99,,TRUE,TRUE,,,,,779369106332,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,18.0625,TRUE,,,active
Unleashed---Chill-Sage-Swirl-Gusset-NS,Unleashed - Chill Sage Swirl Gusset,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,36x23in,,,,,,,,10634,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,779369106349,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,25.0325,TRUE,,,active
Unleashed---Chill-Sage-Swirl-Gusset-NS,Unleashed - Chill Sage Swirl Gusset,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,42x28in,,,,,,,,10635,0,shopify,deny,manual,64.99,,TRUE,TRUE,,,,,779369106356,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,33.1925,TRUE,,,active
Unleashed---Dog---Donut-Bed-Paw-Print-NS,Unleashed - Dog - Donut Bed Paw Print,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,30in,,,,,,,,35596,0,shopify,deny,manual,49.99,,TRUE,TRUE,,,,,779369355969,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,30.15,TRUE,,,active
Unleashed---Dog---Flop-Flat-Mat-Paw-Print-NS,Unleashed - Dog - Flop Flat Mat Paw Print,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,36x23in,,,,,,,,35574,0,shopify,deny,manual,26.99,,TRUE,TRUE,,,,,779369355747,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,15.93,TRUE,,,active
Unleashed---Dog---Flop-Sherpa-Flat-Mat-Natural-NS,Unleashed - Dog - Flop Sherpa Flat Mat Natural,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,24x18in,,,,,,,,35578,0,shopify,deny,manual,19.49,,TRUE,TRUE,,,,,779369355785,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,11.75,TRUE,,,active
Unleashed---Dog---Flop-Sherpa-Flat-Mat-Natural-NS,Unleashed - Dog - Flop Sherpa Flat Mat Natural,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,30x18in,,,,,,,,35579,0,shopify,deny,manual,22.99,,TRUE,TRUE,,,,,779369355792,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,13.82,TRUE,,,active
Unleashed---Dog---Flop-Sherpa-Flat-Mat-Natural-NS,Unleashed - Dog - Flop Sherpa Flat Mat Natural,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,36x23in,,,,,,,,35580,0,shopify,deny,manual,31.99,,TRUE,TRUE,,,,,779369355808,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,19.17,TRUE,,,active
Unleashed---Dog---Flop-Sherpa-Flat-Mat-Natural-NS,Unleashed - Dog - Flop Sherpa Flat Mat Natural,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,42x28in,,,,,,,,35581,0,shopify,deny,manual,42.99,,TRUE,TRUE,,,,,779369355815,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,25.92,TRUE,,,active
Unleashed---Dog---Flop-Sherpa-Flat-Mat-Natural-NS,Unleashed - Dog - Flop Sherpa Flat Mat Natural,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,48x30in,,,,,,,,35582,0,shopify,deny,manual,50.99,,TRUE,TRUE,,,,,779369355822,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,30.83,TRUE,,,active
Unleashed---Dog---Stainless-Steel-Bowl-NS,Unleashed - Dog - Stainless Steel Bowl,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,160oz,,,,,,,,09359,0,shopify,deny,manual,4.99,,TRUE,TRUE,,,,,779369093595,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Bowls,,,,,,,,,,,,,,,,,,,,,,,,2.465,TRUE,,,active
Unleashed---Dog---Stainless-Steel-Bowl-NS,Unleashed - Dog - Stainless Steel Bowl,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,64oz,,,,,,,,09357,0,shopify,deny,manual,3.49,,TRUE,TRUE,,,,,779369093571,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Bowls,,,,,,,,,,,,,,,,,,,,,,,,1.62,TRUE,,,active
Unleashed---Dog---Stainless-Steel-Bowl-NS,Unleashed - Dog - Stainless Steel Bowl,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,96oz,,,,,,,,09358,0,shopify,deny,manual,3.99,,TRUE,TRUE,,,,,779369093588,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Bowls,,,,,,,,,,,,,,,,,,,,,,,,1.8275,TRUE,,,active
Unleashed---Fleece-Gusseted-Brown-NS,Unleashed - Fleece Gusseted Brown,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,35x44,,,,,,,,10268,0,shopify,deny,manual,114.99,,TRUE,TRUE,,,,,779369102686,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,57.1625,TRUE,,,active
VANNESS-FOOD-SCOOP-08900-NS,VANNESS FOOD SCOOP 08900,,Anipet Animal Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,LARGE,,,,,,,,08900,0,shopify,deny,manual,5.59,,TRUE,TRUE,,,,,079441006315,,,,FALSE,,,,,,,,,,,,,,,,UNCLASSED,,,,,,,,,,,,,,,,,,,,,,,,2.38,TRUE,,,active
"Wag-More-Bark-Less---Dog-Oven-Baked-Bacon,-Apple-&-Cheese-NS","Wag More Bark Less - Dog Oven Baked Bacon, Apple & Cheese",,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,3lb,,,,,,,,71545,0,shopify,deny,manual,19.99,,TRUE,TRUE,,,,,693804722027,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Biscuits,,,,,,,,,,,,,,,,,,,,,,,,10.55,TRUE,,,active
Zippy-Paws---Donutz---Chocolate-NS,Zippy Paws - Donutz - Chocolate,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,,,,,,,,,85103,0,shopify,deny,manual,13.99,,TRUE,TRUE,,,,,818786012557,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Toy >> Dog Plush,,,,,,,,,,,,,,,,,,,,,,,,6,TRUE,,,active
Zippy-Paws---Holiday-Crinkle-Reindeer-Extra-Large-NS,Zippy Paws - Holiday Crinkle Reindeer Extra Large,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,Extra Large,,,,,,,,87225,0,shopify,deny,manual,34.99,,TRUE,TRUE,,,,,818786010690,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Toy >> Dog Plush,,,,,,,,,,,,,,,,,,,,,,,,15.0201,TRUE,,,active
Zippy-Paws---Holiday-Crinkle-Reindeer-NS,Zippy Paws - Holiday Crinkle Reindeer,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,Small,,,,,,,,87365,0,shopify,deny,manual,9.99,,TRUE,TRUE,,,,,818786016043,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Toy >> Dog Plush,,,,,,,,,,,,,,,,,,,,,,,,4.5754,TRUE,,,active
